Año,Edad_grupo,Sexo,AROPE
2008,45-64,Mujeres,22.9
2025,65 y más,Mujeres,21.0
2024,65 y más,Mujeres,21.4
2023,65 y más,Mujeres,23.1
2022,65 y más,Mujeres,23.3
2021,65 y más,Mujeres,21.7
2020,65 y más,Mujeres,22.2
2019,65 y más,Mujeres,15.8
2018,65 y más,Mujeres,18.7
2017,65 y más,Mujeres,17.8
2016,65 y más,Mujeres,14.9
2015,65 y más,Mujeres,14.8
2014,65 y más,Mujeres,14.0
2013,65 y más,Mujeres,15.0
2012,65 y más,Mujeres,16.8
2011,65 y más,Mujeres,22.9
2010,65 y más,Mujeres,24.9
2009,65 y más,Mujeres,27.0
2008,65 y más,Mujeres,28.7
